homepage,id,imdb_id,original_title,cast,director
http://toystory.disney.com/toy-story,862,tt0114709,Toy Story,"['tomhanks', 'timallen', 'donrickles']",johnlasseter
,8844,tt0113497,Jumanji,"['robinwilliams', 'jonathanhyde', 'kirstendunst']",joejohnston
,15602,tt0113228,Grumpier Old Men,"['waltermatthau', 'jacklemmon', 'ann-margret']",howarddeutch
,31357,tt0114885,Waiting to Exhale,"['whitneyhouston', 'angelabassett', 'lorettadevine']",forestwhitaker
,11862,tt0113041,Father of the Bride Part II,"['stevemartin', 'dianekeaton', 'martinshort']",charlesshyer
,949,tt0113277,Heat,"['alpacino', 'robertdeniro', 'valkilmer']",michaelmann
,11860,tt0114319,Sabrina,"['harrisonford', 'juliaormond', 'gregkinnear']",sydneypollack
,45325,tt0112302,Tom and Huck,"['jonathantaylorthomas', 'bradrenfro', 'rachaelleighcook']",peterhewitt
,9091,tt0114576,Sudden Death,"['jean-claudevandamme', 'powersboothe', 'dorianharewood']",peterhyams
http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,GoldenEye,"['piercebrosnan', 'seanbean', 'izabellascorupco']",martincampbell
,9087,tt0112346,The American President,"['michaeldouglas', 'annettebening', 'michaelj.fox']",robreiner
,12110,tt0112896,Dracula: Dead and Loving It,"['leslienielsen', 'melbrooks', 'amyyasbeck']",melbrooks
,21032,tt0112453,Balto,"['kevinbacon', 'bobhoskins', 'bridgetfonda']",simonwells
,10858,tt0113987,Nixon,"['anthonyhopkins', 'joanallen', 'powersboothe']",oliverstone
,1408,tt0112760,Cutthroat Island,"['geenadavis', 'matthewmodine', 'franklangella']",rennyharlin
,524,tt0112641,Casino,"['robertdeniro', 'sharonstone', 'joepesci']",martinscorsese
,4584,tt0114388,Sense and Sensibility,"['katewinslet', 'emmathompson', 'hughgrant']",anglee
,5,tt0113101,Four Rooms,"['timroth', 'antoniobanderas', 'jenniferbeals']",allisonanders
,9273,tt0112281,Ace Ventura: When Nature Calls,"['jimcarrey', 'ianmcneice', 'simoncallow']",steveoedekerk
,11517,tt0113845,Money Train,"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']",josephruben
,8012,tt0113161,Get Shorty,"['johntravolta', 'genehackman', 'renerusso']",barrysonnenfeld
,1710,tt0112722,Copycat,"['sigourneyweaver', 'hollyhunter', 'willpatton']",jonamiel
,9691,tt0112401,Assassins,"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']",richarddonner
,12665,tt0114168,Powder,"['marysteenburgen', 'seanpatrickflanery', 'lancehenriksen']",victorsalva
http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,tt0113627,Leaving Las Vegas,"['nicolascage', 'elisabethshue', 'juliansands']",mikefiggis
,16420,tt0114057,Othello,"['laurencefishburne', 'irènejacob', 'kennethbranagh']",oliverparker
,9263,tt0114011,Now and Then,"['christinaricci', ""rosieo'donnell"", 'thorabirch']",leslilinkaglatter
,17015,tt0114117,Persuasion,"['amandaroot', 'ciaránhinds', 'susanfleetwood']",rogermichell
,902,tt0112682,La Cité des Enfants Perdus,"['ronperlman', 'dominiquepinon', 'judithvittet']",jean-pierrejeunet
,37557,tt0115012,摇啊摇，摇到外婆桥,"['gongli', 'libao-tian', 'wangxiaoxiao']",zhangyimou
,9909,tt0112792,Dangerous Minds,"['michellepfeiffer', 'georgedzundza', 'courtneyb.vance']",johnn.smith
,63,tt0114746,Twelve Monkeys,"['brucewillis', 'madeleinestowe', 'bradpitt']",terrygilliam
,9598,tt0112431,Babe,"['christinecavanaugh', 'miriammargolyes', 'dannymann']",chrisnoonan
,47018,tt0112637,Carrington,"['emmathompson', 'jonathanpryce', 'stevenwaddington']",christopherhampton
,687,tt0112818,Dead Man Walking,"['susansarandon', 'seanpenn', 'robertprosky']",timrobbins
,139405,tt0112286,Across the Sea of Time,"['peterreznick', 'johnmcdonough', 'avihoffman']",stephenlow
,33689,tt0113442,It Takes Two,"['kirstiealley', 'steveguttenberg', 'ashleyolsen']",andytennant
,9603,tt0112697,Clueless,"['aliciasilverstone', 'staceydash', 'brittanymurphy']",amyheckerling
,34615,tt0112749,"Cry, the Beloved Country","['jamesearljones', 'charless.dutton', 'jackrobinson']",darrelljamesroodt
,31174,tt0114279,Richard III,"['ianmckellen', 'annettebening', 'jimbroadbent']",richardloncraine
,11443,tt0112819,Dead Presidents,"['larenztate', 'keithdavid', 'christucker']",alberthughes
,35196,tt0114272,Restoration,"['robertdowneyjr.', 'megryan', 'samneill']",michaelhoffman
,9312,tt0113855,Mortal Kombat,"['christopherlambert', 'robinshou', 'lindenashby']",paulw.s.anderson
,577,tt0114681,To Die For,"['nicolekidman', 'mattdillon', 'joaquinphoenix']",gusvansant
,11861,tt0113347,How To Make An American Quilt,"['winonaryder', 'annebancroft', 'ellenburstyn']",jocelynmoorhouse
http://www.sevenmovie.com/,807,tt0114369,Se7en,"['bradpitt', 'morganfreeman', 'gwynethpaltrow']",davidfincher
