Toy Story,862,"[13925, 863, 49013, 920, 9487, 213121, 10193, 54825, 585, 40688]"
Jumanji,8844,"[9354, 2023, 15139, 10249, 7978, 331, 13466, 1771, 16523, 10588]"
Grumpier Old Men,15602,"[27472, 41579, 2122, 15143, 2617, 10393, 11522, 11520, 18080, 1888]"
Waiting to Exhale,31357,"[9715, 43049, 41007, 13972, 46889, 84184, 33644, 59930, 32513, 18169]"
Father of the Bride Part II,11862,"[11846, 11215, 8849, 10879, 52856, 10385, 10989, 11472, 11816, 1901]"
Heat,949,"[11524, 82, 11322, 9008, 8489, 9361, 1538, 11454, 201088, 31640]"
Tom and Huck,45325,"[14113, 8920, 9449, 1649, 43037, 29918, 27985, 34774, 38575, 30765]"
Sudden Death,9091,"[8831, 23939, 11370, 11851, 11015, 4437, 10540, 7304, 9946, 9103]"
GoldenEye,710,"[36557, 41952, 44912, 11678, 9342, 12201, 1656, 10447, 700, 36669]"
The American President,9087,"[12220, 253235, 8992, 2800, 639, 31908, 11031, 31586, 2493, 1700]"
Dracula: Dead and Loving It,12110,"[6524, 24918, 12535, 10156, 9899, 8005, 957, 3034, 11072, 11510]"
Balto,21032,"[2135, 18890, 50321, 14411, 270946, 41515, 211672, 11047, 19004, 278927]"
Nixon,10858,"[31642, 33909, 25783, 10523, 42149, 9563, 820, 10132, 10155, 10673]"
Cutthroat Island,1408,"[10477, 9954, 9350, 13252, 8914, 9548, 16617, 11412, 10131, 1573]"
Casino,524,"[203, 65673, 16153, 42694, 22784, 12637, 19082, 11873, 769, 2567]"
Sense and Sensibility,4584,"[68924, 22267, 10451, 26320, 142, 9261, 146, 87827, 4588, 1927]"
Four Rooms,5,"[58985, 32325, 102933, 47866, 4564, 14588, 161, 31306, 15256, 2360]"
Ace Ventura: When Nature Calls,9273,"[11891, 11676, 145220, 10628, 9600, 157409, 20306, 53172, 207703, 10833]"
Money Train,11517,"[31863, 7442, 9272, 10278, 24099, 10145, 25155, 32081, 10589, 34769]"
Get Shorty,8012,"[2185, 9024, 41154, 2758, 8487, 9530, 2907, 607, 608, 284536]"
Copycat,1710,"[9341, 1049, 1844, 9414, 2043, 17200, 1793, 30308, 31598, 1248]"
Assassins,9691,"[2207, 944, 942, 943, 9562, 9359, 941, 9340, 23805, 1924]"
Powder,12665,"[8922, 11351, 37302, 15301, 30250, 38828, 157834, 11542, 24750, 10434]"
Leaving Las Vegas,451,"[15059, 49805, 125520, 2625, 11060, 12616, 12767, 36234, 261, 10937]"
Now and Then,9263,"[32911, 38223, 52856, 10188, 35680, 9820, 46732, 12689, 15045, 17880]"
The City of Lost Children,902,"[27936, 892, 8078, 194, 2841, 8072, 11687, 54083, 9103, 4710]"
Shanghai Triad,37557,"[41821, 42006, 38143, 14226, 31439, 10404, 79, 9550, 36210, 1494]"
Dangerous Minds,9909,"[32119, 37272, 21801, 256092, 60270, 14671, 12219, 32303, 34723, 12520]"
Twelve Monkeys,63,"[157834, 68, 4543, 1878, 4442, 8054, 11559, 762, 36819, 11834]"
Babe,9598,"[13967, 9447, 24795, 47168, 11395, 74465, 9986, 26531, 10437, 2280]"
Carrington,47018,"[47199, 82311, 22522, 32636, 47889, 19214, 14295, 37606, 21867, 25461]"
Dead Man Walking,687,"[32274, 10608, 5915, 278, 71881, 595, 177, 575, 2291, 25447]"
Across the Sea of Time,139405,"[24767, 45325, 43037, 29918, 43177, 27985, 37244, 34774, 38575, 30765]"
It Takes Two,33689,"[8488, 11529, 1968, 27573, 9454, 1439, 8676, 34043, 19762, 17709]"
Clueless,9603,"[15019, 73935, 10642, 9494, 9356, 16806, 11418, 13342, 14629, 50035]"
"Cry, the Beloved Country",34615,"[52855, 8842, 49471, 2086, 12618, 4970, 26352, 17585, 24276, 47104]"
Richard III,31174,"[53185, 11823, 9754, 15267, 29383, 128158, 227306, 42006, 29586, 49320]"
Dead Presidents,11443,"[9516, 24587, 20504, 768, 6968, 9040, 12528, 29185, 22907, 21454]"
Restoration,35196,"[17187, 239571, 25562, 7300, 10210, 124460, 56135, 2307, 32456, 262176]"
Mortal Kombat,9312,"[45549, 9425, 52451, 1576, 10483, 71679, 395, 35791, 8413, 9823]"
To Die For,577,"[34444, 11252, 133694, 1807, 1956, 1665, 1990, 383, 10139, 476]"
How To Make An American Quilt,11861,"[66588, 9777, 298382, 39938, 15919, 9583, 37672, 14667, 28571, 10641]"
